71905,70790,52347,71881,73103,186,"INSERT INTO datavalue (dataelementid, periodid, sourceid, categoryoptioncomboid, attributeoptioncomboid, value, storedby, created, lastupdated, deleted) VALUES (71905,70790,52347,71881,73103,186,'felix','2017-07-18 12:16:00.146','2017-07-18 12:16:00.146',FALSE);"
71906,70790,52347,71879,73103,68,"INSERT INTO datavalue (dataelementid, periodid, sourceid, categoryoptioncomboid, attributeoptioncomboid, value, storedby, created, lastupdated, deleted) VALUES (71906,70790,52347,71879,73103,68,'felix','2017-07-18 12:16:00.146','2017-07-18 12:16:00.146',FALSE);"
71906,70790,52347,71881,73103,602,"INSERT INTO datavalue (dataelementid, periodid, sourceid, categoryoptioncomboid, attributeoptioncomboid, value, storedby, created, lastupdated, deleted) VALUES (71906,70790,52347,71881,73103,602,'felix','2017-07-18 12:16:00.146','2017-07-18 12:16:00.146',FALSE);"
709,70790,52348,54,78489,22,"INSERT INTO datavalue (dataelementid, periodid, sourceid, categoryoptioncomboid, attributeoptioncomboid, value, storedby, created, lastupdated, deleted) VALUES (709,70790,52348,54,78489,22,'felix','2017-07-18 12:16:00.146','2017-07-18 12:16:00.146',FALSE);"
709,70790,52348,70125,78489,2644,"INSERT INTO datavalue (dataelementid, periodid, sourceid, categoryoptioncomboid, attributeoptioncomboid, value, storedby, created, lastupdated, deleted) VALUES (709,70790,52348,70125,78489,2644,'felix','2017-07-18 12:16:00.146','2017-07-18 12:16:00.146',FALSE);"
712,70790,52348,54,78489,6,"INSERT INTO datavalue (dataelementid, periodid, sourceid, categoryoptioncomboid, attributeoptioncomboid, value, storedby, created, lastupdated, deleted) VALUES (712,70790,52348,54,78489,6,'felix','2017-07-18 12:16:00.146','2017-07-18 12:16:00.146',FALSE);"
712,70790,52348,70125,78489,191,"INSERT INTO datavalue (dataelementid, periodid, sourceid, categoryoptioncomboid, attributeoptioncomboid, value, storedby, created, lastupdated, deleted) VALUES (712,70790,52348,70125,78489,191,'felix','2017-07-18 12:16:00.146','2017-07-18 12:16:00.146',FALSE);"
716,70790,52348,15,78489,122,"INSERT INTO datavalue (dataelementid, periodid, sourceid, categoryoptioncomboid, attributeoptioncomboid, value, storedby, created, lastupdated, deleted) VALUES (716,70790,52348,15,78489,122,'felix','2017-07-18 12:16:00.146','2017-07-18 12:16:00.146',FALSE);"
717,70790,52348,15,78489,30,"INSERT INTO datavalue (dataelementid, periodid, sourceid, categoryoptioncomboid, attributeoptioncomboid, value, storedby, created, lastupdated, deleted) VALUES (717,70790,52348,15,78489,30,'felix','2017-07-18 12:16:00.146','2017-07-18 12:16:00.146',FALSE);"
718,70790,52348,15,78489,27,"INSERT INTO datavalue (dataelementid, periodid, sourceid, categoryoptioncomboid, attributeoptioncomboid, value, storedby, created, lastupdated, deleted) VALUES (718,70790,52348,15,78489,27,'felix','2017-07-18 12:16:00.146','2017-07-18 12:16:00.146',FALSE);"
71905,70790,52348,71881,78489,150,"INSERT INTO datavalue (dataelementid, periodid, sourceid, categoryoptioncomboid, attributeoptioncomboid, value, storedby, created, lastupdated, deleted) VALUES (71905,70790,52348,71881,78489,150,'felix','2017-07-18 12:16:00.146','2017-07-18 12:16:00.146',FALSE);"
71906,70790,52348,71879,78489,2,"INSERT INTO datavalue (dataelementid, periodid, sourceid, categoryoptioncomboid, attributeoptioncomboid, value, storedby, created, lastupdated, deleted) VALUES (71906,70790,52348,71879,78489,2,'felix','2017-07-18 12:16:00.146','2017-07-18 12:16:00.146',FALSE);"
